곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str
"['GN0901', 'GN0902', 'GN1001']",20180321,Compromised,10149087,[1628573],Compromised,"['GN0900', 'GN1000']",['Tim Atlas'],267242,GN0900 GN1000
"['GN1005', 'GN1001']",20110510,Alive In America,1344252,[28345],Heartbreaker,['GN1000'],['Pat Benatar'],353205,GN1000
['GN1001'],20120403,My Head Is An Animal,2106147,[615872],Slow And Steady,['GN1000'],['Of Monsters And Men'],114717,GN1000
"['GN1005', 'GN1001']",20130423,Dig,2184761,[723684],Waiting For The End Of The World,['GN1000'],['Heaven & Earth'],444359,GN1000
['GN1001'],20120423,The Storm Awakens,3073153,[1337927],Eye of the Eternal Sunrise,['GN1000'],['Winters Veil'],113928,GN1000
"['GN1003', 'GN1013', 'GN1001']",20090929,The Boy Who Never,763551,[450180],If I`m Saying Nothing,['GN1000'],['Landon Pigg'],59575,GN1000
['GN1001'],20060124,Us And Them,314808,[165946],Yer Majesty,['GN1000'],['Shinedown'],414289,GN1000
"['GN1013', 'GN1001']",20050614,Pearl (Legacy Edition),87364,[8714],Tell Mama (Live),['GN1000'],['Janis Joplin'],406795,GN1000
"['GN1010', 'GN1001']",20160229,Let It Be (Remastered),2667520,[103578],Two Of Us (Remastered 2009),['GN1000'],['The Beatles'],301421,GN1000
"['GN1003', 'GN1001']",20140721,Similarities,2305188,[104070],The Rain,['GN1000'],['Biffy Clyro'],85793,GN1000
"['GN1007', 'GN1003', 'GN1013', 'GN1001']",20090616,Monuments And Melodies,590254,[104587],Wish You Were Here,['GN1000'],['Incubus'],588510,GN1000
['GN1001'],20140530,Reflected EP,3855469,[1886152],In Your Eyes,['GN1000'],['Arkos'],167721,GN1000
"['GN1012', 'GN1001']",19940419,Smash,25608,[104372],Gotta Get Away,['GN1000'],['The Offspring'],289894,GN1000
"['GN0901', 'GN0902', 'GN1001']",20160217,Neuroplasticity,2667459,[571311],A Quiet Chill,"['GN0900', 'GN1000']",['Cold Specks'],31998,GN0900 GN1000
"['GN1006', 'GN1005', 'GN1013', 'GN1001']",20000213,Hotter Than Hell,306647,[100294],Strange Ways,['GN1000'],['Kiss'],541889,GN1000
"['GN1004', 'GN1013', 'GN1001']",20040517,Ultimate The Alan Parsons Project,34679,[100313],Old And Wise,['GN1000'],['Alan Parsons Project'],588303,GN1000
['GN1001'],20160413,Band of Brothers,2973213,[766394],Dig Myself a Hole,['GN1000'],['Hellyeah'],56051,GN1000
"['GN0901', 'GN0902', 'GN1001']",20140420,Solo Dancing,2252496,[727304],Solo Dancing,"['GN0900', 'GN1000']",['Indiana'],637551,GN0900 GN1000
"['GN1007', 'GN1013', 'GN1001']",20080715,Bring It Back,400259,[263069],All Fucked Up,['GN1000'],['Payback'],425428,GN1000
['GN1001'],20090707,Nothing But A Good Time,144442,[104242],Nothin` But A Good Time (2006 - Remaster),['GN1000'],['Poison'],6430,GN1000
"['GN1007', 'GN1001']",20131105,Proof Of Life,2215526,[8279],Who I Am,['GN1000'],['Scott Stapp'],653446,GN1000
['GN1001'],20150701,Let it Be,3776993,[42828],Let It Be,['GN1000'],['Laine'],299911,GN1000
"['GN1013', 'GN1001']",20051207,Live Peace In Toronto 1969,320271,[191133],Yer Blues,['GN1000'],['The Plastic Ono Band'],441882,GN1000
['GN1001'],20170713,"All Is Wild, All Is Silent",10078765,[252099],Settler,['GN1000'],['Balmorhea'],182499,GN1000
['GN1001'],20120813,This Is the Six,2951828,[722200],Seven Hills,['GN1000'],['While She Sleeps'],416427,GN1000
"['GN1006', 'GN1001']",20110816,Blind Ride,2008460,[337066],Rotten Souls,['GN1000'],['Hibria'],668458,GN1000
['GN1001'],20160408,Loudspeaker,2678204,[946567],Loudspeaker,['GN1000'],['Muna'],334709,GN1000
"['GN1001', 'GN0903']",20090511,The History Of Rock And Roll Vol.6: 1957 Part 1,565056,[27979],Domino: I`m Walkin`,"['GN0900', 'GN1000']",['Fats Domino'],691501,GN0900 GN1000
"['GN1010', 'GN1001']",19720000,An Anthology,308662,[38908],Hey Jude,['GN1000'],['Duane Allman'],428328,GN1000
"['GN1003', 'GN1001']",20110314,Science & Faith (Asian Tour Edition),1228760,[244148],This = Love,['GN1000'],['The Script'],401442,GN1000
"['GN1006', 'GN1013', 'GN1001']",20031019,Motley Crue - Loud as Fuck,329021,[104316],Don't Go Away Mad (Just Go Away),['GN1000'],['Motley Crue'],566210,GN1000
"['GN1010', 'GN1001']",19740000,Feats Don`t Fail Me Now,62364,[104194],Feats Don`t Fail Me Now ,['GN1000'],['Little Feat'],391101,GN1000
"['GN1004', 'GN1001']",20160121,Codex Atlanticus,2663446,[723834],Forgive Me,['GN1000'],['Serenity'],414161,GN1000
"['GN1012', 'GN1001']",19930615,The Ritchie Valens Story,62645,[33554],Boney Maronie ,['GN1000'],['Ritchie Valens'],584291,GN1000
['GN1001'],20140121,Farewell Young Lovers (작별인사),2301745,[831070],Haters (Inst.),['GN1000'],['Crushed Stars'],700750,GN1000
['GN1001'],20160217,ELYSIUM,2667568,[102806],CASTAWAY,['GN1000'],['Stratovarius'],281262,GN1000
"['GN1014', 'GN1003', 'GN1001']",20200103,Morning Glory,10370661,[2643006],Morning Glory,['GN1000'],['Locket'],595105,GN1000
"['GN1013', 'GN0901', 'GN0902', 'GN1001']",20080520,Sounds Like This,852863,[465983],It Hasn`t Been Long Enough,"['GN0900', 'GN1000']",['Eric Hutchinson'],492068,GN0900 GN1000
"['GN1006', 'GN1013', 'GN1001']",20080107,No Remorse (Reissue) (Bonus Track Edition),997254,[104317],Killed By Death,['GN1000'],['Motorhead'],226116,GN1000
['GN1001'],20050617,The Platinum Collection,154412,[103794],Smoke On The Water (1997 Digital Remaster),['GN1000'],['Deep Purple'],222513,GN1000
"['GN1006', 'GN1013', 'GN1001']",20050208,Whipped,329251,[108669],Nonstop To Nowhere,['GN1000'],['Faster Pussycat'],579860,GN1000
"['GN1503', 'GN1501', 'GN1001']",20190111,그린 북 (Green Book) OST,10241757,[2620448],Dearest One,"['GN1500', 'GN1000']",['Jack`s Four'],321676,GN1500 GN1000
['GN1001'],20100426,Round And Round,2009690,[561573],Round And Round,['GN1000'],['Ariel Pink`s Haunted Graffiti'],520129,GN1000
['GN1001'],20070511,Vasco Extended Play,2280941,[161778],La Compagnia,['GN1000'],['Vasco Rossi'],372762,GN1000
['GN1001'],20110902,The Essential Aerosmith,2023789,[100361],I Don`t Want To Miss A Thing,['GN1000'],['Aerosmith'],256605,GN1000
['GN1001'],20181128,Flambeaux,10226407,[2403243],Weight,['GN1000'],['Molly Wagger'],9958,GN1000
"['GN1009', 'GN1001']",19660000,Blonde On Blonde,41480,[7313],Just Like A Woman,['GN1000'],['Bob Dylan'],21193,GN1000
"['GN1013', 'GN1001']",20050920,Live Friday the 13th,308571,[107721],Secret/Ain`t No Sunshine,['GN1000'],['Maroon 5'],623052,GN1000
['GN1001'],20150323,Chaos And The Calm,2310276,[726705],When We Were On Fire,['GN1000'],['James Bay'],276713,GN1000
"['GN1007', 'GN1001']",20141114,Dear Youth,2291379,[674139],Phoenix Flame,['GN1000'],['The Ghost Inside'],132726,GN1000
"['GN1007', 'GN1001']",20130925,Scar The Martyr (Deluxe),2203829,[732868],Dark Ages,['GN1000'],['Scar The Martyr'],686113,GN1000
['GN1001'],20111123,The Sound Of The Smiths,2232984,[104189],Bigmouth Strikes Again,['GN1000'],['The Smiths'],87350,GN1000
"['GN1005', 'GN1011', 'GN1001']",19820000,Coda,360777,[103675],Wearing And Tearing,['GN1000'],['Led Zeppelin'],612915,GN1000
"['GN1003', 'GN1001']",19900000,Greatest Hits 1977-1990,41986,[104921],All Day And All Of The Night,['GN1000'],['The Stranglers'],570714,GN1000
"['GN1002', 'GN1001']",20141007,Everything Will Be Alright In The End,2284862,[105176],Ain&#39;t Got Nobody,['GN1000'],['Weezer'],319376,GN1000
"['GN1014', 'GN1001']",20190829,Mrs Magic,10322273,[2744319],Mrs Magic,['GN1000'],['Strawberry Guy'],275208,GN1000
"['GN0901', 'GN0902', 'GN1001']",20150925,JR JR,2641755,[874624],As Time Goes,"['GN0900', 'GN1000']",['JR JR'],446727,GN0900 GN1000
"['GN1012', 'GN1001']",19960924,Pinkerton,303851,[105176],Getchoo,['GN1000'],['Weezer'],75510,GN1000
"['GN0901', 'GN0902', 'GN1001']",20120117,This Means War,2067707,[622931],The Reality,"['GN0900', 'GN1000']",['Attack Attack!'],518231,GN0900 GN1000
['GN1001'],20050426,Dancing With The Dead,302818,[19303],Not Afraid To Die,['GN1000'],['Pain'],19972,GN1000
"['GN0901', 'GN0902', 'GN1001']",20101213,Best Of (English Ver.),1099865,[221253],1000 Oceans (Single Version),"['GN0900', 'GN1000']",['Tokio Hotel'],26721,GN0900 GN1000
"['GN0901', 'GN0902', 'GN1001']",20140428,The Reason,2271178,[720329],Jungle (Feat. Jamie N Commons),"['GN0900', 'GN1000']",['X Ambassadors'],696152,GN0900 GN1000
['GN1001'],20110905,The Miracle (Deluxe Edition 2011 Remaster),2011070,[103964],I Want It All (Remastered 2011),['GN1000'],['Queen'],21848,GN1000
"['GN1013', 'GN1001']",20050517,The Very Best Of Eddie Cochran,315473,[57892],Twenty Flight Rock,['GN1000'],['Eddie Cochran'],609168,GN1000
['GN1001'],20150710,Woodstock Sessions Vol. 4,263774,[169619],Ever (Foreign Flag),['GN1000'],['Team Sleep'],554099,GN1000
"['GN1003', 'GN1013', 'GN1001']",20030916,"07-09-03 New York, NY (Live)",49106,[104412],"Rockin` In The Free World (Live in New York - July 9, 2003)",['GN1000'],['Pearl Jam'],703849,GN1000
"['GN1005', 'GN1001']",20160115,Tenacious D (Live),2661942,[160049],Tribute (Live),['GN1000'],['Tenacious D'],116838,GN1000
['GN1101'],20180330,Electronic Music 1.0 (일렉트로닉 뮤직 1.0),10152955,[101883],Movin` Too Fast (Feat. Romina Johnson) (Gaudi Mix),['GN1100'],['Artful Dodger'],620005,GN1100
"['GN1104', 'GN1103', 'GN1101']",20141029,Lounge House Vol.5,2287888,[218756],Mistakes I`ve Made (Radio Edit),['GN1100'],['Eelke Kleijn'],360525,GN1100
"['GN1109', 'GN1102', 'GN1101']",20180413,Have It (Feat. Flo Rida) (Remixes EP),10158279,[2136758],Have It (Feat. Flo Rida) (Blactro Club Edit),['GN1100'],['AP3'],587911,GN1100
"['GN1104', 'GN1101']",20170310,We Were Wild Once (Feat. Farewell Dear Ghost),10044271,[934310],We Were Wild Once (Radio Edit),['GN1100'],['Holter & Mogyoro'],233664,GN1100
['GN1101'],20120306,End of Time,4013473,[1276967],End of Time (Feat. Beyonce) (London Sounds 2012 club-house remix),['GN1100'],['Fran London'],349418,GN1100
"['GN1104', 'GN1101']",20110902,Late Night Summer Lounge - Elegant & Sunkissed Lounge Grooves,2115927,[590493],Cafe Del Mare,['GN1100'],['Chill Bros.'],45496,GN1100
"['GN1102', 'GN1101']",20170105,Bastille Remixes,10031095,[741005],Bastille (Le Kid Remix),['GN1100'],['Mercer'],272098,GN1100
['GN1101'],20180126,Upsides & Sideways EP,5202191,[747952],En Route,['GN1100'],['Fluxion'],208276,GN1100
"['GN1104', 'GN1101']",20170207,Materia Chapter.One,10036474,[164277],Dynamic,['GN1100'],['Cosmic Gate'],633027,GN1100
"['GN1104', 'GN1102', 'GN1101']",20140128,Music Box Vol.1,2229819,"[552369, 734886]",Iron Age (Original Mix),['GN1100'],"['Spekrfreks', 'Relentless']",314045,GN1100
"['GN2704', 'GN1102', 'GN1101']",20190301,No Regrets (feat. Krewella) (Streaming Ver.),10256127,"[772152, 523629]",No Regrets (feat. Krewella),"['GN2700', 'GN1100']","['Kshmr', 'Yves-V']",73492,GN2700 GN1100
"['GN1104', 'GN1103', 'GN1101']",20161014,I Was Wrong (Remixes),10006392,[943994],I Was Wrong (Rami x Jiinio Remix),['GN1100'],['A R I Z O N A'],326464,GN1100
"['GN1104', 'GN1103', 'GN1101']",20161006,ADA (Bolier Remix),10003434,"[419680, 882457]",ADA (Bolier Remix),['GN1100'],"['Marcus Schossow', 'NEW_ID']",198980,GN1100
"['GN1102', 'GN1101']",20101101,Acolyte (Plus Remix Album),1059358,[459143],Clarion Call,['GN1100'],['Delphic'],594228,GN1100
"['GN1102', 'GN1101']",20171014,About To Go Down (NCS),10107851,"[859307, 866366]",About To Go Down,['GN1100'],"['Michael White', 'Deflo']",519242,GN1100
"['GN1104', 'GN1103', 'GN1101']",20150217,Melbourne Bounce (멜버른 바운스) Vol.5,2305084,[722156],Crater (Original Mix),['GN1100'],['Jason Risk'],287701,GN1100
['GN1101'],20161104,Welcome To Your Life Remix EP,10011818,[529940],Welcome To Your Life (Sweekuh Remix),['GN1100'],['Grouplove'],312634,GN1100
"['GN1105', 'GN1102', 'GN1101']",20020512,You Can`t Go Home Again,65784,[33874],Treach Battle Beat / Letter From Home,['GN1100'],['DJ Shadow'],666545,GN1100
"['GN1104', 'GN2704', 'GN1102', 'GN1101']",20130802,Thinking About You (Feat. Ayah Marar) (Remix),2196139,[227229],Thinking About You (Laidback Luke Remix) (Feat. Ayah Marar),"['GN2700', 'GN1100']",['Calvin Harris'],203043,GN2700 GN1100
"['GN1102', 'GN1101']",20140127,Eject,2229150,[724177],Run For Cover,['GN1100'],['Cazzette'],378683,GN1100
['GN1101'],20111215,Club DJ Mix - Shuffle Dance,2050027,"[518460, 534141]",Selecta (Turn Up The Beach Theme),['GN1100'],"['Afrojack', 'Quintino']",363443,GN1100
"['GN1102', 'GN1101']",20130207,The Beat,2174750,[559659],Bomba (Probeat Remix),['GN1100'],['Jessy Matador'],105121,GN1100
"['GN1103', 'GN1104', 'GN2704', 'GN1101']",20130701,Three Triangles (Losing My Religion),2191991,[438380],Three Triangles (Losing My Religion) (Radio Edit),"['GN2700', 'GN1100']",['Hardwell'],158123,GN2700 GN1100
['GN1101'],20121113,Molly,2166619,[225210],Molly (Quintino Remix),['GN1100'],['Cedric Gervais'],231833,GN1100
"['GN2701', 'GN2702', 'GN2703', 'GN1104', 'GN1103', 'GN1101']",20180824,Big Smoke,10197004,[2295720],Big Smoke,"['GN2700', 'GN1100']",['Slokix'],534127,GN2700 GN1100
['GN1101'],20140108,Release,3121817,[1127041],Release,['GN1100'],['Random Rab'],192352,GN1100
"['GN1104', 'GN1103', 'GN1101']",20081005,Alone,115255,[358257],Alone,['GN1100'],"[""Mario Held ft. D'Argento""]",500874,GN1100
"['GN2701', 'GN2702', 'GN2703', 'GN1104', 'GN1103', 'GN1101']",20180223,Top Of The World,10142239,[1610597],Top Of The World,"['GN2700', 'GN1100']",['Alora & Senii'],470405,GN2700 GN1100
['GN1101'],20160105,Shock And Awe,2660451,"[927942, 422006, 927943]",Into The Shadows,['GN1100'],"['Cyrus Reynolds', 'Gregg Lehrman', 'Phillip Howard']",588398,GN1100
"['GN2704', 'GN1101']",20180404,Reality Remixes,10154133,[876612],Reality (Feat. Janieck Devy) (MOWE Remix),"['GN2700', 'GN1100']",['Lost Frequencies'],120679,GN2700 GN1100
['GN1101'],20150419,Dancin (Krono Remix) (Feat. Luvli),2965830,[492582],Dancin (Feat. Luvli) (Krono Remix),['GN1100'],['Aaron Smith'],215285,GN1100
"['GN1104', 'GN1103', 'GN1101']",20170619,Summer Dreams,10071909,"[836827, 783043]",Summer Dreams (Feat. Eimy Sue) (Radio Edit),['GN1100'],"['Enric Font', 'David Quijada']",395163,GN1100
"['GN2704', 'GN1104', 'GN1103', 'GN1101']",20151021,LTNS,2645768,"[754698, 873788]",Nose Powder,"['GN2700', 'GN1100']","['Low Steppa', 'Taiki Nulight']",602208,GN2700 GN1100
"['GN1103', 'GN1104', 'GN2704', 'GN1101']",20171222,Parade,10121609,[729697],Parade,"['GN2700', 'GN1100']",['Vinai'],628354,GN2700 GN1100
"['GN1105', 'GN1101']",20170718,EGO,10079960,[731474],The Beautiful Game (Feat. St. Lucia),['GN1100'],['RAC'],586796,GN1100
"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20190419,Fantasy (R3hab Remix),10275678,"[990703, 354694]",Fantasy (R3hab Remix),"['GN2700', 'GN1100']","['Sofi Tukker', 'R3hab']",290013,GN2700 GN1100
"['GN1103', 'GN1104', 'GN2704', 'GN1101']",20141107,Freaks Have More Fun,2291555,[230999],Freaks Have More Fun (Radio Edit),"['GN2700', 'GN1100']",['Dada Life'],612547,GN2700 GN1100
"['GN1104', 'GN1103', 'GN1101']",20120409,Whos Driving Carly,2232799,[734182],Whos Driving Carly (Original Mix),['GN1100'],['Fantastic Boyz'],575438,GN1100
"['GN2704', 'GN1104', 'GN1103', 'GN1101']",20160527,Piece Of Me (Remixes II),2687285,"[746287, 776721]",Piece Of Me (The Saunderson Brothers Remix),"['GN2700', 'GN1100']","['MK', 'Becky Hill']",559872,GN2700 GN1100
"['GN1104', 'GN1103', 'GN1101']",20090601,Bora Bora - Black White Beach,126698,[367313],My Angelic Demons (Dub 1 Mix),['GN1100'],['Justin Martin'],567599,GN1100
['GN1101'],20140825,Pushing On,2276828,"[767637, 767641]",Pushing On,['GN1100'],"['Oliver $', 'Jimi Jules']",349756,GN1100
"['GN1107', 'GN1105', 'GN1101']",19940000,Protection,45677,[104265],KarmacOma,['GN1100'],['Massive Attack'],400844,GN1100
['GN1101'],20180629,If You&#39;re Over Me (Remixes),10180073,[790958],If You&#39;re Over Me (Paul Woolford Remix),['GN1100'],['Years & Years'],9529,GN1100
['GN1101'],20180407,Audio Bartending,4451033,[2025152],Cherry Blossom Cider,['GN1100'],['Jazzinuf'],448851,GN1100
"['GN1104', 'GN1101']",20090703,스트레스를 날려버리는 드라이빙 클럽댄스,617158,[227646],Mama Mia,['GN1100'],['DJ Ensamble'],94558,GN1100
"['GN1106', 'GN1102', 'GN1101']",20091006,Computer World (Remastered),2177950,[104143],Home Computer (Remastered),['GN1100'],['Kraftwerk'],630211,GN1100
"['GN1104', 'GN2704', 'GN1102', 'GN1101']",20151116,Scorpion,2650818,[534141],Scorpion (Hardwell Radio Edit),"['GN2700', 'GN1100']",['Quintino'],653437,GN2700 GN1100
"['GN1102', 'GN1101']",20100707,Los Cuarenta Digital Vol.1,1225051,[108290],California Gurls (The Factory Team Remix),['GN1100'],['Kate Project'],290873,GN1100
"['GN1105', 'GN1101', 'GN1108']",20081020,Caravan Palace,1186860,[521340],Star Scat,['GN1100'],['Caravan Palace'],609871,GN1100
"['GN1102', 'GN1101']",20110509,Families (Feat. Glasser),2288045,[714589],Families  (Feat. Glasser),['GN1100'],['John Talabot'],30711,GN1100
['GN1101'],20191014,You&#39;re Not Here Dancing With Me,10337909,[2749754],You&#39;re Not Here Dancing With Me,['GN1100'],['KWITNY'],618977,GN1100
"['GN1104', 'GN1103', 'GN1101']",20101223,Discotex! (Yah!),1173856,[522161],Discotex! (Yah!) (DJ Rebel Radio Remix),['GN1100'],['DJ F.R.A.N.K.'],478240,GN1100
"['GN1103', 'GN1104', 'GN2704', 'GN1101']",20130218,Get Up (Rattle) (Feat. Far East Movement),2175504,[455705],Get Up (Rattle) (Feat. Far East Movement) (Vocal Extended),"['GN2700', 'GN1100']",['Bingo Players'],447018,GN2700 GN1100
"['GN1104', 'GN1103', 'GN1101']",20170706,PATT,10076929,"[875133, 777829]",PATT,['GN1100'],"['Leandro Da Silva', 'Yan Kings']",178849,GN1100
"['GN2704', 'GN1104', 'GN1103', 'GN1102', 'GN1101']",20131218,Settle (Special Edition),2222074,[699322],F For You,"['GN2700', 'GN1100']",['Disclosure'],582402,GN2700 GN1100
"['GN1104', 'GN1101']",20150901,Spinnin` Dub Vol.1 (스피닝 덥),2637701,"[787314, 856361]",Stadium (Radio Edit.),['GN1100'],"['diMaro', 'D-Stroyer']",646415,GN1100
"['GN1104', 'GN1101']",20160121,"Maxi Disco Vol.4 (70 80 90s Pop Disco Dance : 팝송 디스코, 고고장, 롤라장, 올드 팝 나이트 댄스)",2663045,[106582],Nuit De Folie,['GN1100'],['Debut De Soiree'],307879,GN1100
"['GN1104', 'GN1103', 'GN1101']",20140606,Good To You,2264108,[776972],Good To You (Club Mix),['GN1100'],['Bahoe'],337569,GN1100
"['GN1104', 'GN1103', 'GN1101']",20150314,Look For Me (Radio Edit),2321945,"[672879, 834854]",Look For Me (Radio Edit),['GN1100'],"['Kid Creme', 'Jolyon Petch']",678121,GN1100
"['GN1102', 'GN1101']",20170303,Lit,10042930,[2111452],Lit,['GN1100'],['Banx & Ranx'],463358,GN1100
"['GN1102', 'GN1101']",20130305,Drop The Beat,2177019,"[601959, 630492]",Drop The Beat (Feat. Pryce Oliver) (Original Mix),['GN1100'],"['Futuristic Polar Bears', 'Danny Howard']",340748,GN1100
['GN1101'],20100122,Smooth & Relaxed - Lounge Tunes For Quiet Moments,2045588,[576711],Your Love Is King,['GN1100'],['Yuliet Topaz'],661076,GN1100
['GN1101'],20191107,NYC (MOLOW Remix),10348481,[1275251],NYC (MOLOW Extended Remix),['GN1100'],['Tiggi Hawke'],172864,GN1100
['GN1101'],20170110,Roosevelt,10029615,[1221291],Intro,['GN1100'],['Roosevelt'],475492,GN1100
"['GN1104', 'GN1101']",20060000,Here Comes Tomorrow,91295,[42534],Arrastao,['GN1100'],['Ursula 1000'],282108,GN1100
"['GN1102', 'GN1101']",20170113,Superlove (The Remixes),10030647,[752524],Superlove (Shift K3Y Remix),['GN1100'],['Tinashe'],650308,GN1100
"['GN1104', 'GN1103', 'GN1101']",20140727,Deep House Ibiza 2014,2274730,"[749886, 751133]",You Give Me Life (Dom Dolla Remix),['GN1100'],"['Nark', 'Neil Ormandy']",28453,GN1100
['GN1101'],20110509,Made Of,2269859,[725607],Made Of (Chuckie Remix),['GN1100'],['Nause'],591151,GN1100
"['GN1105', 'GN1101']",20170922,Haiku From Zero,10096281,[171056],Black Rainbows,['GN1100'],['Cut Copy'],74054,GN1100
['GN1101'],20160808,"Hey Deejay In The Music, Vol. 9",2557354,[856356],Little Bad Boy (Original Mix),['GN1100'],['Denkmal'],669099,GN1100
['GN1101'],20180420,88GLAM RELOADED,4444986,[2232688],Chemistry,['GN1100'],['88GLAM'],300748,GN1100
"['GN1102', 'GN1101']",20170221,I Don`t Wanna,10040266,[1204557],I Don`t Wanna,['GN1100'],['TOFU'],345547,GN1100
"['GN1104', 'GN1102', 'GN1101']",20131202,Get Crushed,2218795,[618791],Get Crushed (Original Mix),['GN1100'],['Jidax'],361947,GN1100
['GN1101'],20120326,Point to Consider,2402002,"[362926, 358757]",How`s Your Body,['GN1100'],"['DJ Umek', 'Mike Vale']",432554,GN1100
['GN1101'],20170201,Those Filthy Bangerz We Play,3397675,[1622839],Let`s Go (Original Mix),['GN1100'],['Callypso'],556045,GN1100
"['GN1102', 'GN1101']",20161221,Freedom,10024841,"[1055681, 1054306]",Freedom (Original Mix),['GN1100'],"['Noisesound', 'Rezo Mind']",456536,GN1100
['GN1101'],20121019,Ego in Amsterdam 2012,183129,"[728425, 529221]",Rock Steady (Original Mix),['GN1100'],"['Grada', 'Gianni Coletti']",266353,GN1100
"['GN1104', 'GN1102', 'GN1101']",20130909,We Are The Sun (Sick Individuals Remix),2212024,"[672579, 701833]",We Are The Sun (Sick Individuals Remix),['GN1100'],"['Savoy', 'Heather Bright']",127481,GN1100
"['GN1104', 'GN1103', 'GN1101']",20180123,Yambu (Feat. Dayme Arocena) (Sacred Rhythm Mix),10131025,[234866],Yambu (Feat. Dayme Arocena) (Sacred Rhythm Mix),['GN1100'],['Joe Claussell'],338546,GN1100
"['GN1105', 'GN1109', 'GN1101']",20181005,Malibu Nights,10209313,[896278],If You See Her,['GN1100'],['LANY'],33192,GN1100
"['GN2704', 'GN2701', 'GN2702', 'GN2703', 'GN1103']",20190320,Gone My Way (feat. Pex L),10263190,[368646],Gone My Way (feat. Pex L),"['GN2700', 'GN1100']",['Morgan Page'],86325,GN2700 GN1100
"['GN1104', 'GN1101']",20010904,Chill Out Cafe Vol. 5,541452,[252519],Wake Up With Me,['GN1100'],['Be Noir'],443534,GN1100
"['GN1104', 'GN1103', 'GN1101']",20131212,Stand Up,2220980,[531483],Stand Up (Original Mix),['GN1100'],['Mobin Master'],242753,GN1100
"['GN1104', 'GN1101']",20120127,Space Electronic Disco Vol. 4,2123891,[662552],Back In The Days (Feat. Chris Jylkke),['GN1100'],['Satin Jackets'],656954,GN1100
"['GN1104', 'GN1103', 'GN1101']",20170728,Bones,10086312,[880883],Bones (Feat. Tilian),['GN1100'],['Stelouse'],8981,GN1100
"['GN2704', 'GN1102', 'GN1101']",20151030,Bouquet,2647357,[713297],Waterbed (Feat. Waterbed),"['GN2700', 'GN1100']",['The Chainsmokers'],119486,GN2700 GN1100
"['GN1105', 'GN1101']",20171024,Cherry Glow,10104826,[1910694],Cherry Glow,['GN1100'],['Rhi'],232342,GN1100
"['GN1104', 'GN1101']",20100707,La Douce Party,1156757,[184610],Be Bop A Lula,['GN1100'],['Challenger'],481403,GN1100
['GN1101'],20170901,Clickbait (Deluxe Version),4199789,[1024206],Weak When Ur Around,['GN1100'],['blackbear'],459952,GN1100
"['GN1105', 'GN1101']",20170829,Reservoir,10091653,[1907171],On My Side,['GN1100'],['Gordi'],498534,GN1100
"['GN1105', 'GN1101', 'GN1109']",20190822,Nobody Else (Feat. Fjer),10320215,[1279166],Nobody Else (Feat. Fjer),['GN1100'],['metsa'],464354,GN1100
"['GN1109', 'GN1102', 'GN1101']",20181228,Shots Fired (NCS),10237000,"[1220593, 979311]",Shots Fired,['GN1100'],"['Axol', 'Max Hurrell']",132257,GN1100
"['GN1101', 'GN1102', 'GN1109']",20180803,Enemy (Feat. Sorana),10190310,[891545],Enemy (Feat. Sorana),['GN1100'],['Sweater Beats'],570952,GN1100
"['GN1104', 'GN1103', 'GN1101']",20140707,No Fun,2272483,[193866],No Fun,['GN1100'],['The Presets'],678557,GN1100
"['GN1102', 'GN1101']",20140721,Say You Won`t Ever,2268524,[779126],Say You Won`t Ever (Deetron T-Line Version),['GN1100'],['Wallflower'],365896,GN1100
"['GN1104', 'GN1101']",20151030,The Wolf Of Bounce Street,2647753,[729207],The Wolf Of Bounce Street,['GN1100'],['Razihel'],167837,GN1100
['GN1101'],20120601,Deep In The Night,2202497,[22815],Hold Tight,['GN1100'],['Onra'],66303,GN1100
['GN1101'],19890101,King of Ecstasy (His Greatest Hits Album),2338433,[764289],Sexy Style (Greatest Hits Dub Mix),['GN1100'],['The Egyptian Lover'],436849,GN1100
"['GN1104', 'GN1101']",20130322,Future Jazz Cafe Vol.4,2180076,[223189],Movin`,['GN1100'],['DJ Nob Tee'],464785,GN1100
"['GN1104', 'GN1101']",20170103,A State Of Trance Year Mix 2016 (Mixed by Armin van Buuren),10027819,"[495072, 870383]",Kingdoms (Fsoe 450 Anthem),['GN1100'],"['Aly & Fila', 'Ahmed Romel']",25643,GN1100
"['GN1209', 'GN1201']",20200110,The World Is Yours,10377035,"[2731476, 1134523]",The World Is Yours,['GN1200'],"['Masiwei', 'Higher Brothers']",483819,GN1200
['GN1201'],20150407,Sho Me Tha Money ($.M.T.$.),3806071,[1277184],Jungle And A Circus,['GN1200'],['Sho Money'],53570,GN1200
"['GN1201', 'GN1203']",20131001,Old,2203425,[718472],Smokin & Drinkin,['GN1200'],['Danny Brown'],11560,GN1200
"['GN1201', 'GN1209']",20180410,Just Cause Y`all Waited,10156029,[722949],How I Know (Feat. Lil Baby),['GN1200'],['Lil Durk'],6196,GN1200
"['GN1201', 'GN1209']",20190201,Travel,10249055,[2401784],Tell Me,['GN1200'],['KingJet'],113714,GN1200
['GN1201'],20190607,Die A Legend,10294335,[2403527],Battle Cry,['GN1200'],['Polo G'],500897,GN1200
