곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str,index,tags
['GN0901'],20100201,60 Hits - 60 Jahre Deutschland,2942267,[1254284],A-N-N-A (Radio Version 96),['GN0900'],['Freundeskreis'],666931,GN0900,666931.0,힙합 유럽힙합 유로힙합 독일힙합 샘플링 독일 샘플힙합 붐뱁 유로 유럽
['GN0901'],20170511,기분 전환을 위한 팝 (Diversion Pop),10060684,[1703324],Will You Or Won`t You,['GN0900'],['Bob Crawford'],113909,GN0900,113909.0,퇴근 휴식 기분 지침 피크닉 힐링 기분전환 전환 외로움
['GN0901'],20190423,Finding Home,10277091,[1641421],Finding Home,['GN0900'],['Ashlinn Gray'],689549,GN0900,689549.0,잔잔한 잔잔한팝송 팝송 카페 공부할때
['GN0901'],20141121,Dean Ray,2965353,[791030],Yellow,['GN0900'],['Dean Ray'],562375,GN0900,,
['GN0901'],20131216,Midnight In The Garden EP,2222360,[748138],As It Seems,['GN0900'],['Lily Kershaw'],643624,GN0900,643624.0,어쿠스틱 가을 잔잔한 카페에서 자기전에 팝
"['GN0908', 'GN0901']",20180510,Rose,10164751,[729264],Locked Away,['GN0900'],['J.Fla'],616079,GN0900,616079.0,힐링 J휴식 감성 팝송 봄
['GN0901'],20091023,Soulbook,706551,[2835],Wonderful World,['GN0900'],['Rod Stewart'],186958,GN0900,,
['GN0901'],20080508,한국인이 가장 사랑하는 팝 음악 40,378696,[5946],The End Of The World,['GN0900'],['Skeeter Davis'],37722,GN0900,37722.0,팝Pop팝
['GN0901'],20120723,The Workout Mix - London 2012,2138067,[253688],The Edge Of Glory (Cahill Club Mix),['GN0900'],['Lady GaGa'],227292,GN0900,227292.0,케샤
['GN0901'],20170714,주말의 하우스 파티 음악 Vol. 2 (House Party Vol. 2),10079164,[915868],How Many Times (Wesley King Radio Edit),['GN0900'],['Carol Hahn'],188456,GN0900,188456.0,루프탑 주말 house Pop 하우스 파티 Party
['GN0901'],20080211,Mandagsbarn,2264667,[746084],Mandagsbarn,['GN0900'],['Veronica Maggio'],702437,GN0900,702437.0,힐링 휴식 기분전환avcii 스웨덴 스타일리쉬 스웨디시 스웨디쉬팝 housemafia Alesso Galantis zarararsson 세련된힐링 휴식 드라이브
['GN0901'],20150720,Summer Workout Jams 2015,246250,[857163],I Can`t Feel My Face (When I`m with You),['GN0900'],['DJ Recess'],446873,GN0900,,
['GN0901'],20160325,Le Piu Belle Canzoni Di Marisa Sannia (마리사 산니아 히트곡 모음집),2674926,[45132],Casa Bianca (하얀집),['GN0900'],['Marisa Sannia'],53659,GN0900,53659.0,월드뮤직 가사 경계
['GN0901'],20160708,The Best Ever : Acoustic,2695904,[495811],Grenade (Acoustic),['GN0900'],['Bruno Mars'],131894,GN0900,131894.0,DuaLipa BrunoMars 사랑 팝 JamesBlunt어쿠스틱휴식 카페 리듬 드라이브 Pop 독서 팝송 중독감성비오는날 가을 카페 가을밤 여행 기분전환 사랑 스트레스 비소울 알앤비기분좋은 휴식 어쿠스틱 카페 취향저격 스트레스 감성 마음 퇴근길 팝가을밤겨울 밤 새벽카페음악 감성 매장음악 봄 카페 잔잔한 커피 기타 커피숍 어쿠스틱
['GN0901'],20150106,To Be Loved (Special Tour Edition),2298141,[35370],Mack The Knife,['GN0900'],['Michael Buble'],608404,GN0900,608404.0,팝팝
['GN0901'],19970103,16 Most Requested,47537,[27337],To Know You Is To Love You,['GN0900'],['Bobby Vinton'],77882,GN0900,77882.0,팝
['GN0901'],20071017,Hello Mademoiselle,359677,[160111],Union Square,['GN0900'],['Stephane Pompougnac'],86104,GN0900,86104.0,겨울 까페일렉일렉일렉트로니카여름 기분전환
['GN0901'],20090918,Kevin Paige,140890,[821164],Don`t Shut Me Out,['GN0900'],['Kevin Paige'],201285,GN0900,201285.0,파워풀한 1980 힘찬 팝록 명곡 경쾌한 뉴웨이브 레이블 Pop 신나는
"['GN0908', 'GN0901']",20191031,Mexico,10345576,"[2287468, 726540]",Mexico,['GN0900'],"['KINGDM', 'Bipolar Sunshine']",118489,GN0900,118489.0,일렉트로니카 color 드라이브 EDM 청량한 트렌디 classicblue 팝 i_know_it매장음악 드라이브 트렌디한 기분전환 세련된 팝 신나는심심할때 그루브 기분전환 귀에쏙쏙 신나는휴식 매력 드라이브 좋은노래 음색 매력적인 감성 기분전환 감미로운 느낌
"['GN1013', 'GN0901', 'GN0902', 'GN1001']",20091208,This Is War,741157,[163780],Search And Destroy,"['GN0900', 'GN1000']",['Thirty Seconds To Mars'],395841,GN0900 GN1000,395841.0,락
"['GN0904', 'GN0901']",19991105,Boney M. 2000 20th Century Hits,399,[100316],Sunny,['GN0900'],['Boney M'],495875,GN0900,495875.0,올드팝힐링 휴식 잔잔한
"['GN0901', 'GN0902', 'GN1001']",20131022,Acoustix,2211897,"[58847, 27349]",You Found Another Lover (I Lost Another Friend),"['GN0900', 'GN1000']","['Ben Harper', 'Charlie Musselwhite']",273675,GN0900 GN1000,,
['GN0901'],20151202,That`s Christmas To Me (Deluxe Edit.),2654135,[761769],It`s The Most Wonderful Time Of The Year,['GN0900'],['Pentatonix'],493220,GN0900,493220.0,겨울 크리스마스겨울 기분전환겨울 매장음악눈 겨울 크리스마스 캐롤겨울날 Winter 눈 Daily 감성 Pop Christmas 크리스마스눈 겨울 크리스마스캐롤 크리스마스 캐롤겨울매장음악 설렘 사랑잔잔한 밤 새벽겨울 감성 카페 로맨틱 눈 분위기 드라이브 크리스마스 캐롤 추위팝매장음악 캐럴 카페 분위기 재즈 크리스마스 캐롤 포근 Christmas
['GN0901'],20130322,Ultimate R&B Love 2012: The Essential Collection,2179469,[10364],Sensual Seduction,['GN0900'],['Snoop Dogg'],557558,GN0900,,
"['GN0901', 'GN0902', 'GN1001']",20100531,Shadows,1024351,[104547],The Back Of My Mind,"['GN0900', 'GN1000']",['Teenage Fanclub'],450379,GN0900 GN1000,450379.0,이탈리아 스페인 나는회사사무실에 힐링돋는 한파 현실도피송 정유미는스페인에
"['GN0908', 'GN0901']",20190823,Saturday (The Wedding Song),10320550,[2641108],Saturday (The Wedding Song),['GN0900'],['Sammy Wilk'],275154,GN0900,275154.0,HipHop_Rap 기분전환에좋은신나는노래 힙합갬성휴식 봄 주말 잔잔한 오후 나른한 감성 편안한기분전환 팝송
"['GN0908', 'GN0901']",20180820,Not Another Pop Mash-Up 3,10195063,[2242235],Not Another Pop Mash-Up 3,['GN0900'],['Milan'],510356,GN0900,510356.0,애시드 매장음악 매장 드라이브 그루브 기분전환 트렌디 록 펑크 디스코
['GN0901'],20050927,Good Morning 2,308246,[27449],You Gotta Be,['GN0900'],['Des`ree'],90559,GN0900,90559.0,락팝팝팝
"['GN0908', 'GN0901']",20181214,Icarus Falls,10157624,[945024],Flight Of The Stars,['GN0900'],['ZAYN'],93838,GN0900,93838.0,분위기 공유 가을비오는날 추천 휴식 잔잔한 새벽감성 커피 감성기분전환팝 Pop팝 추천 드라이브 PopRnB 감미로운 ZAYN 알엔비2018집중 감성 밤 로맨틱 잔잔한 야경 센치 위로 혼자만의시간 소울
['GN0901'],20120731,Isles Of Wonder: Music For The Opening Ceremony Of The London 2012 Olympic Games,2138950,"[56044, 1993]",Bonkers (Radio Edit),['GN0900'],"['Dizzee Rascal', 'Armand Van Helden']",573829,GN0900,573829.0,OST긴장감 스트레스 화 분노일렉OST드럼 베이스 매장음악 우퍼 가야씨
['GN0901'],20050801,"Real Funk, Real Groove",306479,[2727],Our Love Would Be Much Better,['GN0900'],['Various Artists'],676013,GN0900,,
['GN0901'],20120410,Songs Inspired By Whitney Houston Vol 1.,3804611,[1384546],Treat Me Like Your Baby,['GN0900'],['Shena'],546669,GN0900,546669.0,힙합 겨울 랩 외국힙합 크리스마스 Rap HIPPOP Tyga
['GN0901'],20160801,Best Of,2916587,[1238572],Love Rollercoaster,['GN0900'],['Sound Of Red Hot Chili Peppers'],248308,GN0900,248308.0,우울 괴로움 스트레스
['GN0901'],20170408,PTX Vol. IV - Classics,10053018,[761769],Take On Me,['GN0900'],['Pentatonix'],503487,GN0900,503487.0,여유발랄한노래 상큼하게 신나는매장매장음악 드라이브 Pop 느낌있는 기분전환 노랫말을듣는다 ralalra 팝기분전환새벽 하루 휴식 침대 마무리여름 봄 팝 스트레스 기분전환 봄의왈츠 여름향기 락 제이팝굿모닝 상쾌한 기분전환 아침방콕 이불귀르가즘 기분전환매장 감성 음악 카페우울할때 운동할때 멜로디감성 매장음악 밤 카페 잔잔한 분위기기분좋은 상큼한 스마일 기운 dance Pop 엔돌핀 Acoustic 컨디션tvN예능 꽃보다할배리턴즈검색 매장 음악스페인하숙 미디어 OST 여행 기분전환 설렘 팝 bgm여름 루프탑 트로피컬 시원한 청량한 노랫말을듣는다 바다 ralalra 휴가 신나는우울할때 기분전환 휴식 팝송 신나는편안한출근길 아침 카페 시작 행복 새해 상쾌한 기분전환 소중꽃 달콤달콤 LOVE 봄노래 봄향기 사랑노래 뿜뿜 Pop Acoustic 라뷰라뷰
['GN0901'],20160826,Encore Un Soir (Deluxe Edition),2706598,[2275],A Vous,['GN0900'],['Celine Dion'],534620,GN0900,534620.0,노래연습 여성보컬 가창노래 BEYONCE SIA 가창력 CelineDion 팝송 CarrieUnderwood 파워풀
['GN0901'],20101125,The Beatles Reinvented By Giacomo Bondi And The Apple Pies,1085895,[406642],And I Love Her,['GN0900'],['The Apple Pies'],52302,GN0900,52302.0,팝
"['GN0901', 'GN0902', 'GN1001']",20140428,Futurology (Deluxe),2268399,[100534],The Next Jet To Leave Moscow,"['GN0900', 'GN1000']",['Manic Street Preachers'],508209,GN0900 GN1000,508209.0,도시 비행기 세계여행
['GN0901'],20050613,Disco Gold (15 Tracks),346177,[103799],Ladies Night (Album Ver.),['GN0900'],['Kool & The Gang'],467968,GN0900,467968.0,소울 알앤비
['GN0901'],20191021,Fall in Love Again,10341241,[2750913],Fall in Love Again,['GN0900'],['Bryce Xavier'],554233,GN0900,554233.0,샤워 밤 가을 잔잔한 새벽감성 발라드 겨울 Pop 팝송 팝매장 드라이브 cafe 매장음악 카페기분좋은 휴일 주말 아침 잔잔한 오후 Pop 집 일상 화창한
['GN0901'],20170707,Clearly,10078884,[1815570],Clearly,['GN0900'],['Dylan Hyde'],328514,GN0900,328514.0,매장음악 드라이브 bgm 여행 기분전환 혼술 와인 모임예은 감성스트레스 싸이클 기분전환 운동 런닝
['GN0901'],20040330,Damita Jo (Clean),312002,[3418],Island Life,['GN0900'],['Janet Jackson'],383352,GN0900,383352.0,소울 알앤비
['GN0901'],20091115,Top 20 Dance,112034,[354590],Image,['GN0900'],"['Federico Franchi, Becci']",560316,GN0900,560316.0,일렉
['GN0901'],20160511,"At Night, Alone.",2684083,[468241],I Took A Pill In Ibiza (Seeb Remix),['GN0900'],['Mike Posner'],466404,GN0900,466404.0,봄 주말 댄스 드라이브 여행 중독성 기분전환 파티 팝 신나는기분전환 딥하우스 트로피컬하우스 매장음악 하우스여행 라운지 라운지음악 새벽 드라이브 EDM 기분전환 빌보드차트 트로피컬하우스 스트레스출근길 아침 청량 드라이브 클럽 기분전환 상큼 일렉유럽팝 팝 Pop Eurodance여름 기분전환감성 매장음악 밤 새벽 드라이브 몽환 여행 힐링 기분전환 스트레스여행 드라이브 산책감성적 새벽 새벽감성 감각적인 분위기 드라이브 Pop 몽환적 힐링 기분전환팝팝운전 드라이브프로듀서 드라이브 EDM 리믹스 electronica 기분전환 파티 스트레스 2010 신나는모히또 트로피컬 XMFHVLZJF 청량 하우스 이병헌 몰디브 클럽드라이브 여행기분전환 휴식 드라이브 신나는매장음악 쇼핑 댄스 매장 불금 일렉 세련된하하하하클럽 기분전환버스 매장음악 Pop팝팝일렉리믹스 매력적인스트레스 매장음악루프탑 서핑 트로피컬 청량 드라이브 EDM 라운지바 수영장 트로피칼 편집샵일렉트로니카 매장음악 잔잔한 여행 팝송 하우스음악 팝 내맘대로선곡팝여름 드라이브 EDM모음 여행 시원한 EDM 신나는기분전환 팝송추천 팝송 popsong느낌있는 딥하우스soccor 스페셜 축구스페셜 축구매장음악Billboard 2016 TOP100 year기분전환 운동팝팝노동요 드라이브 EDM 불금 시원한 기분전환 느낌있는 트렌디감성 매장음악 잔잔한 드라이브 팝송 기분전환 노랫말을듣는다 ralalra 팝 신나는감성일렉 내적댄스청량 상쾌 1 경쾌 팝 신나는기분전환 매장음악장희 트렌디노동가 기분전환 장르불문내적댄스 클럽 기분전환 그루브여름 일렉트로니카 휴양지 드라이브 가벼운 휴가여름 매장음악 드라이브 여행 매력적인 즐거운 느낌있는 트렌디 팝 편집샵중독성 기분전환 청량 국외휴식 기분전환 사랑일렉트로니카 업데이트 퓨처하우스 예정 트랩 트로피컬하우스 하우스 딥하우스팝하우스음악 클럽음악힙합 힙한 Pop 그루브빌보드200앨범 2016년 Pop여름 트로피컬 추억 드라이브 EDM 시원한 기분전환 여행 스트레스 신나는EDM무드 신곡 가을 카페 잔잔한 감각적인 차분한 드라이브 따스한 편안한팝기분전환 팝송 신나는노동요 드라이브 EDM 불금 시원한 기분전환 느낌있는 트렌디상쾌한 팝 미디엄템포 스트레스해소일렉트로니카 매장음악 주말 가을 일렉팝 드라이브 Pop 여행 기분전환 신나는팝팝매장음악 운동 드라이브 기분전환 팝 편집샵팝팝더위탈출 여름 고고팝팝진짜 드라이브 좋은노래 혼자 출퇴근헬스 헬스장 운동 드라이브 겨울 기분전환 비트 신나는일렉트로니카 춤 금요일밤 드라이브 EDM electronica 클럽 외국노래 팝 일렉매장음악 취향저격 감성비트 나만듣기아까운 기분전환 보컬EDM 스트레스 일렉EDM여름 매장음악 운동 드라이브 Pop 여행 기분전환 청량감 팝저녁 매장음악 카페 새벽 감각적인 드라이브 Pop 음색 기분전환
['GN0901'],20021001,Lover‘s Paradise-Love In Cinema,23852,[8600],Ain`t No Sunshine,['GN0900'],['Bill Withers'],85621,GN0900,85621.0,재즈힐링 휴식 밤 새벽팝
['GN0901'],20141216,The Indispensable Collection,2325795,[7800],Gone Too Soon,['GN0900'],['Michael Jackson'],567018,GN0900,567018.0,슬픔 이별밤 새벽1990 kingofpop epicrecords Pop 에픽시절 1970_80 킹오브팝 마이클잭슨
['GN0901'],20180406,Ultimate... Party Anthems,10155253,[602511],Black Magic,['GN0900'],['Little Mix'],86970,GN0900,86970.0,클럽 운동
"['GN1501', 'GN0908', 'GN0901', 'GN1505']",20190524,Riverdale: Season 2 (Original Television Soundtrack),10289381,[2189955],"Mad World (feat. K.J. Apa, Camila Mendes & Lili Reinhart)","['GN1500', 'GN0900']",['Riverdale Cast'],629336,GN1500 GN0900,,
"['GN0908', 'GN0901']",20180921,Company (feat. Molly Hammar),10208273,[889954],Company (feat. Molly Hammar),['GN0900'],['Paul Rey'],637247,GN0900,637247.0,Chill 느낌있는 밤 감각적인 그루브 도시 시크한 트렌디 팝 세련된봄 아침 출근 드라이브 경쾌한 벚꽃 기분전환 설렘 팝 산뜻한
['GN0901'],20161130,Kid`s Christmas Songs,3918760,[1914780],Little Drummer Boy,['GN0900'],"['The Robin Hood Junior High School Choir, Johnnie Whitfield, Eddie Haney']",543503,GN0900,543503.0,연말 크리스마스캐롤 christmas_carol 메리크리스마스 성탄절 크리스마스 캐롤 화이트크리스마스 Carol Christmas
['GN0901'],20151218,"나는 라디오다 : 8090 세대를 위한 추억의 음악 이야기 (8090 팝 발라드, 댄스, 영화 주제가 모음집)",2657605,[2727],Beauty And The Beast,['GN0900'],['Various Artists'],648511,GN0900,,
['GN0901'],20040412,Ultimate Daryl Hall+John Oates,34371,[101386],Kiss On My List,['GN0900'],['Hall & Oates'],149421,GN0900,,
"['GN0901', 'GN0902', 'GN1001']",20170317,Resonate,10046750,[1385283],Old Soul,"['GN0900', 'GN1000']",['Nosoyo'],194381,GN0900 GN1000,194381.0,분위기 밤 새벽스위트 감성 멜로디매장음악 카페 러블리쏘 분위기 드라이브 매력적인 기분전환 팝 일렉감각 여름 감성 비 목소리 여행 감성힙합 기분전환 사랑 스트레스
"['GN0901', 'GN0902', 'GN1001']",20151016,Smoke + Mirrors (Deluxe),2645152,[635412],Hopeless Opus,"['GN0900', 'GN1000']",['Imagine Dragons'],246916,GN0900 GN1000,246916.0,스포츠 운동 록 스쿼트 상상용 런지 ImagineDragons Rock 홈트레이닝 하체운동꽃보다청춘 위너
['GN0901'],20060000,The Very Best Of Roberta Flack,83401,[28651],The Closer I Get To You (with Donny Hathaway) (Remastered Ver.),['GN0900'],['Roberta Flack'],371393,GN0900,371393.0,팝팝
"['GN0908', 'GN0901']",20181128,Back To You,10226633,[980369],Back To You,['GN0900'],['Joakim Molitor'],599093,GN0900,599093.0,아침 드라이브 여행 감각적 기분전환 트렌디 세련된감성 밤 가을 잔잔한 산책 노을 여행 저녁 포근한 퇴근길느낌있는 카페 취향저격 팝 남자보컬 음색 기분전환 설렘 감미로운 달닻겨울 팝 알앤비Electronic경쾌한 나른한 시원한 졸음퇴치 기분전환 일렉트로닉 스트레스 일탈 신나는운동할때 다이어트 EDM 기분전환 POP_Remix KPOP_MUSIC
['GN0901'],20080714,POP-氷水 (Bing Soo),389789,[231799],Better In Time,['GN0900'],['Leona Lewis'],359131,GN0900,359131.0,팝팝팝소울 알앤비
['GN0901'],20030811,Rhythm Nation / Control,2238501,[3418],When I Think Of You,['GN0900'],['Janet Jackson'],659990,GN0900,659990.0,팝흥겨운 댄스팝 1980 RNBSOUL 명곡 Pop 그루브 funky 펑키 신나는팝
"['GN0906', 'GN0901']",19870000,Canciones De Mi Padre (Remastered),60691,[28297],La Calandria (2016 Remastered),['GN0900'],['Linda Ronstadt'],330516,GN0900,330516.0,지역별 라틴 Latin 애절한 월드뮤직 추억 린다론스태드 여성보컬 감성적인 멕시코1990 라틴 1980 LindaRonstadt 월드뮤직 멕시코민요 etc 히스패닉 린다론스태드
['GN0901'],20110208,The Grenade Sessions,2201183,[495811],Grenade (Passion Pit Remix),['GN0900'],['Bruno Mars'],451813,GN0900,451813.0,팝일렉
['GN0901'],20170908,Back To The Future,10094481,[1907766],She`s Like A Star,['GN0900'],['Soul System'],375396,GN0900,375396.0,감성 RnB 분위기 드라이브 drive Pop 그루브 기분전환 트렌디 신나는
"['GN0908', 'GN0901']",20190426,In Between Minds,10278665,[1220540],Better Than Today,['GN0900'],['Rhys Lewis'],127874,GN0900,,
"['GN0901', 'GN0902', 'GN1001']",20120518,The Temper Trap (Deluxe Version),2140989,[688951],Trembling Hands,"['GN0900', 'GN1000']",['The Temper Trap'],98684,GN0900 GN1000,98684.0,분위기있는 팝송
"['GN0901', 'GN0902', 'GN1001']",20130726,Silent Cry,2199266,[100610],Silent Cry,"['GN0900', 'GN1000']",['Feeder'],172352,GN0900 GN1000,172352.0,Pop팝록
['GN1001'],20170915,Worlds Collide (리그 오브 레전드 : 2015 월드 챔피언십 주제곡),10096011,[1910123],Worlds Collide (리그 오브 레전드 : 2015 월드 챔피언십 주제곡),['GN1000'],['Nicki Taylor'],18473,GN1000,18473.0,기분전환 신나는일렉트로니카 취향저격 당신만을위한노래 명곡 좋은노래 Pop 기분전환 팝송모음 신나는여름 Pop 신나는쿵쾅쿵쾅 심장이터질것같은 텐션역주행 롤드컵 신나는LOL 리그오브레전드 롤 롤드컵 LeagueofLegends머리_흔들어_재껴 신남 록 해드뱅잉 중독성_갑
['GN1001'],20191129,Acoustic Session - EP,10358554,[853792],Out of Myself - Acoustic,['GN1000'],['Riverside'],166544,GN1000,166544.0,신곡 애프터문 루이톰린슨 Pop 11월 마미손 가요 강다니엘
"['GN1006', 'GN1013', 'GN1001']",20050311,Angel Of Retribution,300996,[100884],Lochness,['GN1000'],['Judas Priest'],5437,GN1000,5437.0,락
['GN1001'],20000822,No Ordinary World,21980,[28159],On My Way Home,['GN1000'],['Joe Cocker'],337845,GN1000,337845.0,소울 알앤비
"['GN1013', 'GN1001']",20050321,Lifehouse,326789,[104454],Come Back Down,['GN1000'],['Lifehouse'],94248,GN1000,94248.0,락
"['GN0901', 'GN0902', 'GN1001']",20160502,Venus Parade,2682536,[967357],Still Worlds,"['GN0900', 'GN1000']",['A Singer Must Die'],673370,GN0900 GN1000,,
"['GN1006', 'GN1001']",20130603,Super Collider,2187486,[100703],Off The Edge,['GN1000'],['Megadeth'],421201,GN1000,421201.0,록메탈 Metal 록명곡 메탈 Rock 락
['GN1001'],20170508,Life Odium,4080975,[2028643],Disembowelment,['GN1000'],['Womb Of Maggots'],265473,GN1000,265473.0,메탈코어 랩코어 록명곡 록메탈 extreme
"['GN1003', 'GN1008', 'GN1001']",20161025,Running Out Of Love,10009062,[198347],Sloboda Narodu,['GN1000'],['The Radio Dept.'],467923,GN1000,467923.0,락autumn 차가운 가을 따뜻한 멜로디
"['GN1013', 'GN0901', 'GN0902', 'GN1001']",20090714,No Surprise,606954,[221350],No Surprise,"['GN0900', 'GN1000']",['Daughtry'],159607,GN0900 GN1000,159607.0,팝기분전환 드라이브팝록스트레스 기분전환락여행기분전환 드라이브락Pop기분전환 드라이브스트레스 기분전환매장음악 까페Daughtry JimmyEatWorld 스크립트 오아시스 Oasis Train 남성밴드 트레인 보이밴드 원디렉션팝팝노래드라이브스트레스 운동락팝팝여름 여행 산책
"['GN1006', 'GN1013', 'GN1001']",20030423,Seven (Best Of Stryper),31306,[105602],To Hell With The Devil,['GN1000'],['Stryper'],573633,GN1000,573633.0,눈사람 하얀눈 크리스마스 Rock헤비메탈 록 불금 기분전환 입문 Rock 락 신나는노동요 청소 회사 공격적인_하드한 파워풀_에너제틱 작업 분노 힘이_나는 스트레스 일여름 JUMF 전주얼티밋 페스티벌 기분전환 2019 스트레스 신나는헤비메탈 데스메탈 기타 락 메탈헤비메탈 힐링락스트레스 고음80년생 고음 락발라드여행 드라이브 Rock락80년대 헤비메탈 하드락 LA메탈락스프레이 80년대 하드록 회상 헤비메탈 추억 LP Rock 음감실 록하드락밴드 분노 헤비메탈 드라이브 명곡 스트레스 기분전환 메탈 띵곡 스트레스해소스트레스 기분전환락롹앤롤 고음 스트레스풀때 기분전환 슬픈 Rock 노래방락드라이브 기타 산책 락 사운드락기분전환 여름 락 메탈
"['GN0901', 'GN0902', 'GN1001']",20160304,iii,2670465,[419522],Back Of The Car,"['GN0900', 'GN1000']",['Miike Snow'],699885,GN0900 GN1000,699885.0,감각적인 팝
"['GN1003', 'GN0901', 'GN0902', 'GN1001']",20100906,Interpol,1011756,[106912],Safe Without,"['GN0900', 'GN1000']",['Interpol'],486071,GN0900 GN1000,486071.0,스트레스 락 기분전환
"['GN1101', 'GN1108']",20080706,LP3,392452,[256366],Brulee,['GN1000'],['Ratatat'],31775,GN1000,,
['GN1001'],20190201,Slowly Going The Way Of The Buffalo,5652823,[106576],"I`m Ok, You`re Ok",['GN1000'],['MxPx'],561885,GN1000,561885.0,스카펑크 1990년대 록 펑크록 스트레스 펑크 신나는
"['GN1013', 'GN1001']",20060725,And Justice For All (UK Ver.),1000959,[100288],The Frayed Ends Of Sanity,['GN1000'],['Metallica'],464286,GN1000,464286.0,드라이브
"['GN1006', 'GN1013', 'GN1001']",20050311,Angel Of Retribution,300996,[100884],Judas Rising,['GN1000'],['Judas Priest'],106375,GN1000,106375.0,락
"['GN1005', 'GN1001']",20110624,The Game (Deluxe Edition 2011 Remaster),1317452,[103964],"Dragon Attack (Live At Milton Keynes Bowl, June 1982)",['GN1000'],['Queen'],206918,GN1000,206918.0,브리티시 1980 프레디머큐리 1970 Rock 퀸 라이브 락 legend 보헤미안랩소디
"['GN1003', 'GN1001']",20160520,Everything Must Go 20 (Remastered),2686032,[100534],Kevin Carter (2016 Remastered Ver.),['GN1000'],['Manic Street Preachers'],693412,GN1000,693412.0,1990 메시지 브릿팝 젊음 기타 감성 멜로디 락 펑크 자존감
['GN1001'],20171227,Psychosis,10123391,[40315],Terror Tactics,['GN1000'],['Cavalera Conspiracy'],12260,GN1000,12260.0,옴니버스 록 OST 록명곡 메탈 락
"['GN1007', 'GN1013', 'GN1001']",20040608,Vol. 3: The Subliminal Verses,34845,[101139],Opium Of The People,['GN1000'],['Slipknot'],209746,GN1000,209746.0,락
['GN1001'],20151102,Nothing Else Is Working,2648108,[913355],Forever,['GN1000'],['Sille Nilsson'],643219,GN1000,643219.0,OST파스텔톤 앨범커버아트밤 새벽 달 재즈 늦은밤 생각이많아질때추억 가을 회상
"['GN0901', 'GN0902', 'GN1001']",20150821,Protocol,2335927,[883317],Protocol,"['GN0900', 'GN1000']",['Society'],561035,GN0900 GN1000,561035.0,FIFA 라리가 네이션스리그 챔피언스리그
"['GN1006', 'GN1014', 'GN1001']",20190718,Cheapside Sloggers,10308477,[254266],Cheapside Sloggers (Feat. Gary Holt),['GN1000'],['Volbeat'],418066,GN1000,418066.0,밴드 메탈 록 드라이브 스트레스 신보 Rock 참이슬 락 신나는
['GN1001'],20161129,Stand In The Rain,10021180,[1228221],Stand In The Rain,['GN1000'],['Jessarae'],482966,GN1000,482966.0,휴식 여행산책 인디팝 드라이브 히든트랙 12월_2주차
['GN1001'],20180309,Dew ♥ (Lo-Fi Ver.),10158144,[2136735],Dew ♥ (Lo-Fi Ver.),['GN1000'],['PYNKIE'],665642,GN1000,665642.0,카페 팝 드라이브 여행 혼자서도 힙스터 락 얼터너티브 인디Chill 감성 밤 편안한 JAYJE 아날로그 Lofi 로파이 공부할때힙합 마이너감성 재즈 Lofi 재즈힙합 로파이감성 vlog네오소울 칠아웃 새벽 vlog 드라이브 공부할_때 Lofi 재즈힙합 알앤비소울 선선한Chill 감성 카페 펍 lo_fi 레트로 로파이쓸쓸 고요
"['GN1003', 'GN1013', 'GN1001']",20090929,Brand New Eyes,688556,[224937],Turn It Off,['GN1000'],['Paramore'],559628,GN1000,559628.0,락락팝락비오는날락록메탈 록 락메탈 록발라드 메탈 락락언제나좋은 기분전환 Pop 다시듣게되는락
['GN1001'],20120713,Nighttime Birds,2950837,[105887],On Most Surfaces,['GN1000'],['The Gathering'],543496,GN1000,,
"['GN1009', 'GN1001']",20160229,Rubber Soul (Remastered),2667514,[103578],Think For Yourself (Remastered 2009),['GN1000'],['The Beatles'],146444,GN1000,146444.0,비틀즈 코즈니
['GN1001'],20120713,Signs of Infinite Power,2953982,[939032],Bionic Astronautics,['GN1000'],['Fu Man Chu'],331379,GN1000,,
"['GN1007', 'GN1001']",20170331,Bloodlust,10050516,[191113],Black Hoodie,['GN1000'],['Body Count'],680193,GN1000,,
['GN1001'],20101109,This Is War (Deluxe Edition),1109554,[163780],Stronger (Bbc Live Ver.),['GN1000'],['Thirty Seconds To Mars'],154346,GN1000,,
"['GN1004', 'GN1012', 'GN1001']",19950400,Thrak,19876,[104134],Vrooom,['GN1000'],['King Crimson'],244360,GN1000,244360.0,프로그레시브 락 명곡들 재즈
